dataset	sample	ambient	origin
VLP_ReyesA_2015	Ma_F209T2_25.8.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T1_12.8.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F259T2_26.1.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_28.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T2_15.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T1_9.9.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T1_2.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T1_6.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T2_31.3.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T2_4.11.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T1_7.10.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T1_28.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T2_23.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F10T1_3.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57M_30.9.08	HUMAN	STOOL
VLP_ReyesA_2015	F57T2_6	HUMAN	STOOL
VLP_ReyesA_2015	F56T2_S7d	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T2_30.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T2_17.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T2_20.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F209M_30.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T2_19.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T1_7.10.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T2_16.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T1_10.2.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T2_25.8.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95T2_19.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T2_27.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T2_06.05.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T1_15.5.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T1_20.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T2_27.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T1_30.06.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F209T2_30.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T1_29.07.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T1_17.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95T1_6.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T2_10.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F10T1_11.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T2_27.08.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95T2_5.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_17.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T1_31.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T2_7.10.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37T1_24.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T1_25.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T1_30.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37S_23.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_25.11.08R	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37T1_12.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F10T2_19.8.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T1_16.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T1_11.02.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_14.10.08R	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T2_25.5.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T1_15.3.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T1_8.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T2_7.10.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F95T1_5.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56S_30.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T2_30.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T2_28.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T2_17.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T1_13.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T1_26.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T2_23.2.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T1_24.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T2_31.3.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T1_31.03.09	HUMAN	STOOL
VLP_ReyesA_2015	F57T1_CecA2	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T2_12.8.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T1_23.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T2_23.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T2_31.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T1_23.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T2_6.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T1_31.3.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T1_19.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37T2_12.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T1_13.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T1_06.05.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T1_27.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T2_13.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T1_17.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196M_18.11.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T1_3.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T2_16.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T1_15.3.10R1	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T1_25.8.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T1_13.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F209T1_30.12.08	HUMAN	STOOL
VLP_ReyesA_2015	F57T1_3_4	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T1_20.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301M_22.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_25.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F10T1_28.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T1_14.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37T2_26.8.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T1_13.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F259T1_26.1.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_2.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T1_12.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F138T2_15.5.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T2_18.11.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F209T1_30.06.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T1_9.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T2_2.12.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T2_15.2.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T2_24.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_9.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T1_24.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T2_30.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_9.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T1_21.9.08	HUMAN	STOOL
VLP_ReyesA_2015	F57T1_1_2	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_2.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T1_12.8.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T2_10.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F10T2_3.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T1_27.1.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_25.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T2_13.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_30.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F194T2_13.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F209T1_25.08.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T2_14.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T2_17.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T1_11.2.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F10T2_11.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F229T1_30.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F259T2_16.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T1_4.11.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T1_3.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T2_18.1.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T2_2.1.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F259T2_1.12.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F209T1_15.12.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56T2_9.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_2.9.08R	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T2_14.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F37T2_26.5.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_14.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F259T2_11.8.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T2_17.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T1_23.2.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_14.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T2_13.01.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T2_22.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T1_22.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F259T1_21.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F121T1_1.12.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T1_17.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T2_4.1.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T1_19.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T2_26.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T1_2.12.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F112T1_10.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F284T1_18.1.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F301T1_22.4.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_23.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T1_26.8.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T1_17.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F209T2_15.12.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F259T1_16.6.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T1_6.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F196T1_17.2.10	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T2_8.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T2_23.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F268T2_12.8.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_17.3.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F57T1_28.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F47T2_11.02.09	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T2_3.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T2_19.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F93T1_14.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F56M_30.9.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T2_6.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F209T2_30.12.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F23T1_17.11.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T2_20.10.08	HUMAN	STOOL
VLP_ReyesA_2015	Ma_F26T1_15.12.08	HUMAN	STOOL
VLP_RosarioK_2009	RW_Park_DNA	ENVO	RECLAIMED WATER
VLP_RosarioK_2009	Potable_DNA	ENVO	RECLAIMED WATER
VLP_RosarioK_2009	RW_Effluent-DNA	ENVO	RECLAIMED WATER
VLP_RosarioK_2009	RW_Nursery_DNA	ENVO	RECLAIMED WATER
VLP_RosarioK_2018_DNA	UCF02	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF03	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF10	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF09	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF04	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF05	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF14	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF11	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF06	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF08	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF01	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF12	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF07	ENVO	BUILT ENV
VLP_RosarioK_2018_DNA	UCF13	ENVO	BUILT ENV
VLP_Roux_2012	MET7	ENVO	FRESHWATER
VLP_Roux_2012	MET6	ENVO	FRESHWATER
VLP_TARA_2017	TARA_A100001017	ENVO	OCEAN
VLP_TARA_2017	TARA_E500000056	ENVO	OCEAN
VLP_TARA_2017	TARA_X000001316	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000750	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000093	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000742	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000028	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000734	ENVO	OCEAN
VLP_TARA_2017	TARA_A100001374	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001224	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000406	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000781	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000700	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000030	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001132	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000995	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001039	ENVO	OCEAN
VLP_TARA_2017	TARA_A100000172	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001079	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000008	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000544	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001530	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001460	ENVO	OCEAN
VLP_TARA_2017	TARA_E500000082	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001463	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000455	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001377	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000315	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000951	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000900	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000773	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000988	ENVO	OCEAN
VLP_TARA_2017	TARA_A100000171	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000656	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000789	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000482	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000541	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000664	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000426	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001244	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000084	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000908	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000963	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001509	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000234	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001440	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001015	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000322	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000654	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001143	ENVO	OCEAN
VLP_TARA_2017	TARA_A100001201	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000365	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000049	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001082	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000149	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000501	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001126	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000231	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001443	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000306	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001480	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000278	ENVO	OCEAN
VLP_TARA_2017	TARA_A100001516	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000655	ENVO	OCEAN
VLP_TARA_2017	TARA_E500000306	ENVO	OCEAN
VLP_TARA_2017	TARA_E500000318	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001591	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001163	ENVO	OCEAN
VLP_TARA_2017	TARA_A100001518	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000353	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000935	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001198	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001369	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000081	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000479	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000805	ENVO	OCEAN
VLP_TARA_2017	TARA_S200002703	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001230	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000657	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001594	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001129	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000388	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000152	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000005	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000329	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000687	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000808	ENVO	OCEAN
VLP_TARA_2017	TARA_A100001392	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000697	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001510	ENVO	OCEAN
VLP_TARA_2017	TARA_R100000458	ENVO	OCEAN
VLP_TARA_2017	TARA_R100001086	ENVO	OCEAN
VLP_TsengC_2013	V6	ENVO	FRESHWATER
VLP_TsengC_2013	V5	ENVO	FRESHWATER
VLP_TsengC_2013	V4	ENVO	FRESHWATER
VLP_TsengC_2013	V3	ENVO	FRESHWATER
VLP_TsengC_2013	V2	ENVO	FRESHWATER
VLP_TsengC_2013	V1	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID57Street140610.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID57Street140513..1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Montrose140513..1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID95Street140708.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID57Street140527.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Montrose140527.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Lake_Michigan_Montrose_5-Jun-13	ENVO	FRESHWATER
VLP_WatkinsS_2015	Wilmette140708.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID95Street140722.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID95Street140624.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Wilmette140513..1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Montrose140708.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Wilmette140610..1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID57Street140624.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Montrose140722.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID57Street140708.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Montrose140610.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Montrose140624.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID57Street140805.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Wilmette140722.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Lake_Michigan_Montrose_25-Jun-13	ENVO	FRESHWATER
VLP_WatkinsS_2015	Wilmette140527.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID57Street140722.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID95Street140527..1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Montrose140805.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Wilmette140805.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID95Street140610.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Wilmette140624.1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Lake_Michigan_Montrose_5-Jul-13	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID95Street140513..1V	ENVO	FRESHWATER
VLP_WatkinsS_2015	Lake_Michigan_57th_St_5-Jun-13	ENVO	FRESHWATER
VLP_WatkinsS_2015	SID95Street140805.1V	ENVO	FRESHWATER
VLP_ZhaoG_2017	case9_343	HUMAN	STOOL
VLP_ZhaoG_2017	SID3.2_417	HUMAN	STOOL
VLP_ZhaoG_2017	case5_661	HUMAN	STOOL
VLP_ZhaoG_2017	SID2.1_213	HUMAN	STOOL
VLP_ZhaoG_2017	case8_423	HUMAN	STOOL
VLP_ZhaoG_2017	case4_138	HUMAN	STOOL
VLP_ZhaoG_2017	case2_165	HUMAN	STOOL
VLP_ZhaoG_2017	SID7.2_148	HUMAN	STOOL
VLP_ZhaoG_2017	SID3.2_363	HUMAN	STOOL
VLP_ZhaoG_2017	case11_532	HUMAN	STOOL
VLP_ZhaoG_2017	case8_494	HUMAN	STOOL
VLP_ZhaoG_2017	case2_208	HUMAN	STOOL
VLP_ZhaoG_2017	case11_317	HUMAN	STOOL
VLP_ZhaoG_2017	case11_432	HUMAN	STOOL
VLP_ZhaoG_2017	case11_62	HUMAN	STOOL
VLP_ZhaoG_2017	case5_385	HUMAN	STOOL
VLP_ZhaoG_2017	SID2.1_276	HUMAN	STOOL
VLP_ZhaoG_2017	case10_255	HUMAN	STOOL
VLP_ZhaoG_2017	SID7.2_383	HUMAN	STOOL
VLP_ZhaoG_2017	case11_477	HUMAN	STOOL
VLP_ZhaoG_2017	case10_89	HUMAN	STOOL
VLP_ZhaoG_2017	case2_346	HUMAN	STOOL
VLP_ZhaoG_2017	SID3.2_297	HUMAN	STOOL
VLP_ZhaoG_2017	case8_126	HUMAN	STOOL
VLP_ZhaoG_2017	case5_692	HUMAN	STOOL
VLP_ZhaoG_2017	SID2.1_187	HUMAN	STOOL
VLP_ZhaoG_2017	case11_264	HUMAN	STOOL
VLP_ZhaoG_2017	case8_470	HUMAN	STOOL
VLP_ZhaoG_2017	case11_90	HUMAN	STOOL
VLP_ZhaoG_2017	case8_526	HUMAN	STOOL
VLP_ZhaoG_2017	case11_399	HUMAN	STOOL
VLP_ZhaoG_2017	SID3.2_207	HUMAN	STOOL
VLP_ZhaoG_2017	case3_463	HUMAN	STOOL
VLP_ZhaoG_2017	case11_508	HUMAN	STOOL
VLP_ZhaoG_2017	SID4.1_134	HUMAN	STOOL
VLP_ZhaoG_2017	case11_184	HUMAN	STOOL
VLP_ZhaoG_2017	SID9.1_520	HUMAN	STOOL
VLP_ZhaoG_2017	case8_370	HUMAN	STOOL
VLP_ZhaoG_2017	case4_226	HUMAN	STOOL
VLP_ZhaoG_2017	case2_87	HUMAN	STOOL
VLP_ZhaoG_2017	SID3.2_478	HUMAN	STOOL
VLP_ZhaoG_2017	SID3.2_266	HUMAN	STOOL
VLP_ZhaoG_2017	case1_249	HUMAN	STOOL
VLP_ZhaoG_2017	10.2_86	HUMAN	STOOL
VLP_ZhaoG_2017	SID7.2_74	HUMAN	STOOL
VLP_ZhaoG_2017	case2_137	HUMAN	STOOL
VLP_ZhaoG_2017	SID7.2_181	HUMAN	STOOL
VLP_ZhaoG_2017	SID4.1_163	HUMAN	STOOL
VLP_ZhaoG_2017	case3_486	HUMAN	STOOL
VLP_ZhaoG_2017	SID3.2_83	HUMAN	STOOL
VLP_ZhaoG_2017	SID1.1_273	HUMAN	STOOL
VLP_ZhaoG_2017	SID2.1_124	HUMAN	STOOL
VLP_ZhaoG_2017	case8_546	HUMAN	STOOL
VLP_ZhaoG_2017	SID2.1_82	HUMAN	STOOL
VLP_ZhaoG_2017	case7_279	HUMAN	STOOL
VLP_ZhaoG_2017	case10_226	HUMAN	STOOL
VLP_ZhaoG_2017	SID2.1_153	HUMAN	STOOL
VLP_ZhaoG_2017	case3_520	HUMAN	STOOL
VLP_ZhaoG_2017	case1_30	HUMAN	STOOL
VLP_ZhaoG_2017	case8_344	HUMAN	STOOL
VLP_ZhaoG_2017	SID3.2_330	HUMAN	STOOL
VLP_ZhaoG_2017	case2_80	HUMAN	STOOL
VLP_ZhaoG_2017	11.1_372	HUMAN	STOOL
