dataset	sample	ambient	origin
VLP_HanniganG_2015	MG100439	HUMAN	SKIN
VLP_HanniganG_2015	MG100262	HUMAN	SKIN
VLP_HanniganG_2015	MG100633	HUMAN	SKIN
VLP_HanniganG_2015	MG100277	HUMAN	SKIN
VLP_HanniganG_2015	MG100612	HUMAN	SKIN
VLP_HanniganG_2015	MG100652	HUMAN	SKIN
VLP_HanniganG_2015	MG100611	HUMAN	SKIN
VLP_HanniganG_2015	MG100307	HUMAN	SKIN
VLP_HanniganG_2015	MG100253	HUMAN	SKIN
VLP_HanniganG_2015	MG100239	HUMAN	SKIN
VLP_HanniganG_2015	MG100282	HUMAN	SKIN
VLP_HanniganG_2015	MG100630	HUMAN	SKIN
VLP_HanniganG_2015	MG100681	HUMAN	SKIN
VLP_HanniganG_2015	MG100672	HUMAN	SKIN
VLP_HanniganG_2015	MG100249	HUMAN	SKIN
VLP_HanniganG_2015	MG100248	HUMAN	SKIN
VLP_HanniganG_2015	MG100460	HUMAN	SKIN
VLP_HanniganG_2015	MG100453	HUMAN	SKIN
VLP_HanniganG_2015	MG100458	HUMAN	SKIN
VLP_HanniganG_2015	MG100675	HUMAN	SKIN
VLP_HanniganG_2015	MG100674	HUMAN	SKIN
VLP_HanniganG_2015	MG100294	HUMAN	SKIN
VLP_HanniganG_2015	MG100677	HUMAN	SKIN
VLP_HanniganG_2015	MG100610	HUMAN	SKIN
VLP_HanniganG_2015	MG100446	HUMAN	SKIN
VLP_HanniganG_2015	MG100272	HUMAN	SKIN
VLP_HanniganG_2015	MG100247	HUMAN	SKIN
VLP_HanniganG_2015	MG100433	HUMAN	SKIN
VLP_HanniganG_2015	MG100289	HUMAN	SKIN
VLP_HanniganG_2015	MG100642	HUMAN	SKIN
VLP_HanniganG_2015	MG100668	HUMAN	SKIN
VLP_HanniganG_2015	MG100493	HUMAN	SKIN
VLP_HanniganG_2015	MG100418	HUMAN	SKIN
VLP_HanniganG_2015	MG100242	HUMAN	SKIN
VLP_HanniganG_2015	MG100223	HUMAN	SKIN
VLP_HanniganG_2015	MG100412	HUMAN	SKIN
VLP_HanniganG_2015	MG100429	HUMAN	SKIN
VLP_HanniganG_2015	MG100310	HUMAN	SKIN
VLP_HanniganG_2015	MG100628	HUMAN	SKIN
VLP_HanniganG_2015	MG100427	HUMAN	SKIN
VLP_HanniganG_2015	MG100479	HUMAN	SKIN
VLP_HanniganG_2015	MG100250	HUMAN	SKIN
VLP_HanniganG_2015	MG100620	HUMAN	SKIN
